inspection_id,site_id,conducted_by_person_id,contractor_id,inspection_date,inspection_type,field_notes,compliance_rating,num_hazards_identified,num_actions_created,status
1,1,3,,2020-02-23,ROUTINE,Post-incident inspection at Te Kura o Te Kao. Area where incident occurred has been unchanged. worn anti-slip tape on steps. Interviewed the site manager who confirmed that the issue has been ongoing. Root cause appears to be lack of maintenance. Immediate controls: warning signs placed. Further investigation: yes - WorkSafe notification pending.,COMPLIANT,2,1,COMPLETED
2,1,3,,2020-04-22,POST_INCIDENT,Contractor audit: the contractor on site performing electrical maintenance. Checked: PPE compliance - compliant with minor exceptions; site induction records - missing for one worker; work method statements - generic - not site-specific. Overall: compliant. Issues noted: SWMS not signed.,MAJOR_NON_COMPLIANCE,2,2,COMPLETED
3,1,2,91.0,2021-11-25,CONTRACTOR_AUDIT,Routine site walkthrough at Te Kura o Te Kao. Checked emergency exits - all clear. Fire extinguishers - two expired. First aid kits - adequate. Signage - several missing. General housekeeping - good. 0 new hazards logged.,MINOR_NON_COMPLIANCE,2,0,COMPLETED
4,1,1,124.0,2021-04-21,CONTRACTOR_AUDIT,Contractor audit: Kiwi Hvac Group on site performing HVAC servicing. Checked: PPE compliance - non-compliant - worker on ladder without harness; site induction records - all current; work method statements - generic - not site-specific. Overall: major non-compliance. Issues noted: SWMS not signed.,MAJOR_NON_COMPLIANCE,0,0,COMPLETED
5,1,2,113.0,2021-11-15,CONTRACTOR_AUDIT,Post-incident inspection at Te Kura o Te Kao. Area where incident occurred has been unchanged. peeling paint near food prep area. Interviewed the principal who confirmed awareness of the hazard. Root cause appears to be inadequate training. Immediate controls: area barricaded. Further investigation: yes - await contractor quote.,MAJOR_NON_COMPLIANCE,1,0,COMPLETED
6,1,1,,2022-06-09,POST_INCIDENT,Post-incident inspection at Te Kura o Te Kao. Area where incident occurred has been under repair. tree branch overhanging walkway. Interviewed the caretaker who confirmed awareness of the hazard. Root cause appears to be environmental conditions. Immediate controls: warning signs placed. Further investigation: yes - await contractor quote.,COMPLIANT,1,0,COMPLETED
7,1,2,,2022-02-16,ROUTINE,Complaint response visit to Te Kura o Te Kao regarding strange smell in classroom. On inspection found trip hazard from raised concrete. standing water near entrance pathway. Spoke with the H&S rep who was concerned about the situation. Actions: repair ordered. Follow-up required: no.,CRITICAL,3,0,COMPLETED
8,1,1,,2023-11-04,ROUTINE,Arrived at Te Kura o Te Kao at 9:00. Met with the H&S rep who reported a concern about the car park. Walked the site starting from the car park. Observed standing water near entrance pathway. Noted bird nesting in roof cavity. the gymnasium appears showing signs of wear. Recommend engaging specialist contractor. Photos taken for record.,COMPLIANT,0,0,COMPLETED
9,1,3,,2024-04-26,COMPLAINT_RESPONSE,Post-incident inspection at Te Kura o Te Kao. Area where incident occurred has been unchanged. mould visible on ceiling tiles. Interviewed the caretaker who confirmed awareness of the hazard. Root cause appears to be environmental conditions. Immediate controls: warning signs placed. Further investigation: yes - await contractor quote.,MINOR_NON_COMPLIANCE,1,1,COMPLETED
10,2,7,,2020-08-10,POST_INCIDENT,Routine site walkthrough at Taipa Area School. Checked emergency exits - one partially blocked. Fire extinguishers - all in date. First aid kits - adequate. Signage - faded in places. General housekeeping - good. 2 new hazards logged.,MINOR_NON_COMPLIANCE,2,0,COMPLETED
11,2,8,,2020-11-07,ROUTINE,Complaint response visit to Taipa Area School regarding water leak from ceiling. On inspection found peeling paint near food prep area. cluttered storage room blocking access. Spoke with the principal who was concerned about the situation. Actions: temporary fix applied. Follow-up required: yes - next routine visit.,COMPLIANT,1,0,COMPLETED
12,2,6,,2020-03-25,POST_INCIDENT,Contractor audit: the contractor on site performing plumbing work. Checked: PPE compliance - partial - no safety glasses observed; site induction records - missing for one worker; work method statements - comprehensive. Overall: major non-compliance. Issues noted: none noted.,MAJOR_NON_COMPLIANCE,1,0,COMPLETED
13,2,5,,2021-08-08,POST_INCIDENT,Post-incident inspection at Taipa Area School. Area where incident occurred has been under repair. tree branch overhanging walkway. Interviewed the principal who confirmed the timeline of events. Root cause appears to be worn equipment. Immediate controls: area barricaded. Further investigation: no - matter resolved.,COMPLIANT,2,2,COMPLETED
14,2,5,,2022-11-21,ROUTINE,Contractor audit: the contractor on site performing painting. Checked: PPE compliance - fully compliant; site induction records - expired - updated on site; work method statements - generic - not site-specific. Overall: compliant. Issues noted: work area not adequately fenced.,COMPLIANT,2,0,COMPLETED
15,2,6,,2022-05-09,POST_INCIDENT,Arrived at Taipa Area School at 11:00. Met with the site manager who reported no issues since last visit. Walked the site starting from the main entrance. Observed loose railing on Block A stairwell. Noted trip hazard from raised concrete. the library appears satisfactory. Recommend scheduling maintenance within 30 days. Photos taken for record.,MAJOR_NON_COMPLIANCE,1,0,COMPLETED
16,2,5,,2022-05-12,ROUTINE,Routine site walkthrough at Taipa Area School. Checked emergency exits - clear. Fire extinguishers - all current. First aid kits - needs restocking. Signage - faded in places. General housekeeping - poor in storage areas. 1 new hazards logged.,COMPLIANT,0,0,COMPLETED
17,2,7,,2023-04-24,POST_INCIDENT,Routine site walkthrough at Taipa Area School. Checked emergency exits - signage missing on one. Fire extinguishers - one missing from hall. First aid kits - fully stocked. Signage - faded in places. General housekeeping - excellent. 2 new hazards logged.,MAJOR_NON_COMPLIANCE,3,1,COMPLETED
