assessment_id,site_id,conducted_by_person_id,assessment_date,assessment_period,overall_risk_score,findings_summary,num_hazards_identified,num_actions_created,status
1,1,4,2020-03-04,H1_2020,57,Routine H1/H2 assessment for Te Kura o Te Kao conducted on the assessment date. Building condition assessments reviewed for all 8 structures. 1 hazards requiring attention identified. Notable improvement in playground area maintenance since last assessment.,1,1,COMPLETED
2,1,1,2020-09-09,H2_2020,49,Routine H1/H2 assessment for Te Kura o Te Kao conducted on the assessment date. Building condition assessments reviewed for all 10 structures. 1 hazards requiring attention identified. Notable improvement in first aid supplies since last assessment.,1,0,COMPLETED
3,1,2,2021-03-04,H1_2021,82,Site inspection revealed generally satisfactory conditions with 4 hazards identified. Main concerns relate to asbestos-containing materials. Overall risk posture is critical. Recommend follow-up on traffic management within 60 days.,4,1,COMPLETED
4,1,2,2021-09-06,H2_2021,27,Site inspection revealed generally satisfactory conditions with 0 hazards identified. Main concerns relate to slip hazards during winter. Overall risk posture is low. Recommend follow-up on aging infrastructure within the next term.,0,0,COMPLETED
5,1,3,2022-03-23,H1_2022,50,Comprehensive risk assessment completed for Te Kura o Te Kao. 0 new hazards identified and 1 existing hazards reviewed. Key findings include: peeling paint near food prep area; missing fire extinguisher sign. 0 corrective actions have been raised.,0,0,COMPLETED
6,1,4,2022-09-19,H2_2022,47,Assessment of Te Kura o Te Kao identified medium overall risk level. Primary concerns are contractor oversight particularly affecting the sports facilities. Emergency procedures were reviewed and found to be satisfactory. 0 actions created.,1,0,COMPLETED
7,1,3,2023-03-12,H1_2023,72,Assessment of Te Kura o Te Kao identified high overall risk level. Primary concerns are aging infrastructure particularly affecting administration building. Emergency procedures were reviewed and found to be satisfactory. 3 actions created.,2,3,COMPLETED
8,1,2,2023-09-04,H2_2023,58,Site inspection revealed generally satisfactory conditions with 3 hazards identified. Main concerns relate to slip hazards during winter. Overall risk posture is medium. Recommend follow-up on playground equipment wear within 14 days.,3,3,COMPLETED
9,1,2,2024-03-23,H1_2024,66,Site inspection revealed generally satisfactory conditions with 3 hazards identified. Main concerns relate to playground equipment wear. Overall risk posture is high. Recommend follow-up on asbestos-containing materials within 30 days.,3,4,COMPLETED
10,1,4,2024-09-12,H2_2024,37,Risk assessment findings: Te Kura o Te Kao presents medium risk environment. Critical items include uneven surface on playground. Moderate items include trip hazard from raised concrete. 1 actions assigned with 2 marked as critical priority.,0,1,COMPLETED
